cheese,milk,country,family,type,texture,rind,color,flavor,aroma,vegetarian,vegan
Lebbene,"goat, sheep",Israel,Pasta filata,soft,"creamy, smooth, soft",natural,white,mild,mild,True,False
Scamorza,cow,Italy,Pasta filata,semi-soft,"elastic, smooth, springy",natural,white,"acidic, fruity",mild,True,True
Caciocavallo Podolico Vetus,cow,Italy,Pasta filata,soft,firm,natural,cream,"buttery, sweet",earthy,True,False
Chontaleno,cow,Mexico,Pasta filata,semi-hard,firm,natural,white,salty,"aromatic, clean, fresh, herbal",False,False
Bierkase,cow,Germany,Pasta filata,"semi-soft, smear-ripened",smooth,washed,pale yellow,"salty, tangy",strong,False,False
Mozzarella di Bufala DOP,water buffalo,Italy,Pasta filata,"soft, brined","creamy, smooth, springy",leaf wrapped,white,"floral, mild, milky, sour",fresh,False,False
Chontaleno,cow,Mexico,Pasta filata,semi-hard,firm,natural,white,salty,pungent,False,False
Caciocavallo di Bufala,water buffalo,Italy,Pasta filata,"semi-hard, artisan",smooth,ash coated,cream,savory,earthy,True,False
St Tola Crottin,goat,Ireland,Pasta filata,soft,smooth,natural,white,"lemony, sweet","clean, floral",True,False
Montchevre Goat Cheese Log,goat,United States,Pasta filata,"semi-soft, artisan",smooth,rindless,white,"creamy, tangy","fresh, rich",True,False
St Tola Crottin,goat,Ireland,Pasta filata,soft,smooth,washed,white,"lemony, sweet","clean, floral",False,False
Mozzarella di Bufala DOP,water buffalo,Italy,Pasta filata,"soft, brined","creamy, smooth, springy",plastic,white,"floral, mild, milky, sour",fresh,False,False
Provoleta,water buffalo,Argentina,Pasta filata,"semi-hard, artisan","creamy, smooth, springy",natural,pale yellow,"mild, smokey",fresh,False,False
Chontaleno,cow,Mexico,Pasta filata,semi-hard,firm,natural,white,salty,"fresh, herbal",False,False
Provoleta,water buffalo,Argentina,Pasta filata,"semi-hard, artisan","creamy, smooth, springy",washed,pale yellow,"mild, smokey",fresh,False,False
Mozzarella (Australian),"cow, water buffalo",Australia,Pasta filata,"semi-soft, brined","springy, stringy, supple",rindless,white,milky,"fresh, milky",True,False
Lebbene,"goat, sheep",Israel,Pasta filata,soft,"creamy, gooey, runny, soft",natural,white,mild,mild,True,False
Alta Badia,cow,Italy,Pasta filata,semi-soft,firm,rindless,ivory,"milky, sharp, tangy","earthy, nutty",False,False
Caciocavallo Podolico Vetus,cow,Italy,Pasta filata,soft,firm,natural,cream,"buttery, sweet",earthy,False,False
Lebbene,"goat, sheep",Israel,Pasta filata,soft,"open, smooth",natural,white,mild,mild,False,False
Alta Badia,cow,Italy,Pasta filata,semi-soft,firm,mold ripened,ivory,"milky, sharp, tangy","goaty, lactic",False,False
Chontaleno,cow,Mexico,Pasta filata,semi-hard,firm,natural,white,salty,fresh,False,False
Morlacco,cow,Italy,Pasta filata,"soft, artisan",soft,natural,white,"mild, smooth, sweet, tangy",fresh,False,False
Chontaleno,cow,Mexico,Pasta filata,semi-hard,firm,natural,white,salty,"buttery, spicy",False,False
Alta Badia,cow,Italy,Pasta filata,semi-soft,firm,natural,ivory,"milky, sharp, tangy","pungent, strong",False,False
Caciocavallo,cow,Italy,Pasta filata,semi-hard,"elastic, firm",natural,ivory,"bitter, creamy, nutty, savory, smooth, sweet",earthy,False,False
Caciocavallo Podolico Vetus,cow,Italy,Pasta filata,soft,firm,natural,yellow,"buttery, sweet",earthy,False,False
Lebbene,"goat, sheep",Israel,Pasta filata,soft,firm,natural,white,mild,mild,True,False
Caciocavallo Podolico Vetus,cow,Italy,Pasta filata,soft,firm,natural,white,"buttery, sweet",earthy,True,False
Lebbene,"goat, sheep",Israel,Pasta filata,soft,"firm, grainy",natural,white,mild,mild,False,False
Alta Badia,cow,Italy,Pasta filata,semi-soft,firm,natural,cream,"milky, sharp, tangy","clean, fresh",False,False
Caciocavallo,cow,Italy,Pasta filata,semi-hard,"elastic, firm",natural,cream,"milky, subtle, sweet",earthy,False,False
Chontaleno,cow,Mexico,Pasta filata,semi-hard,firm,natural,white,salty,"mild, milky",False,False
St Tola Crottin,goat,Ireland,Pasta filata,soft,smooth,bloomy,white,"lemony, sweet","clean, floral",True,False
Alta Badia,cow,Italy,Pasta filata,semi-soft,firm,washed,white,"milky, sharp, tangy",rich,False,False
Caciocavallo,cow,Italy,Pasta filata,semi-hard,"elastic, firm",natural,yellow,"mild, milky, sweet",earthy,False,False
Mozzarella di Bufala DOP,water buffalo,Italy,Pasta filata,"soft, brined","creamy, smooth, springy",rindless,white,"floral, mild, milky, sour",fresh,False,False
Alta Badia,cow,Italy,Pasta filata,semi-soft,firm,natural,white,"milky, sharp, tangy","grassy, herbal",False,False
Caciocavallo,cow,Italy,Pasta filata,semi-hard,"elastic, firm",natural,white,"bitter, buttery, mild, milky, salty",earthy,False,False
Mozzarella di Bufala DOP,water buffalo,Italy,Pasta filata,"soft, brined","creamy, smooth, springy",mold ripened,white,"floral, mild, milky, sour",fresh,False,False
Scamorza,cow,Italy,Pasta filata,semi-soft,"elastic, smooth, springy",natural,white,strong,"aromatic, clean, fresh, herbal",True,False
Caciocavallo,cow,Italy,Pasta filata,semi-hard,"elastic, firm",natural,yellow,mild,earthy,False,False
Morlacco,cow,Italy,Pasta filata,"soft, artisan",soft,natural,white,"creamy, spicy",fresh,True,False
Caciocavallo Podolico Vetus,cow,Italy,Pasta filata,soft,firm,natural,pale yellow,"buttery, sweet",earthy,True,False
Caciocavallo di Bufala,water buffalo,Italy,Pasta filata,"semi-hard, artisan",smooth,rindless,white,savory,earthy,False,False
Scamorza,cow,Italy,Pasta filata,semi-soft,"elastic, smooth, springy",natural,white,"mild, sweet","earthy, grassy, lactic",False,False
Morlacco,cow,Italy,Pasta filata,"soft, artisan",soft,natural,white,"acidic, fruity",fresh,False,False
Alta Badia,cow,Italy,Pasta filata,semi-soft,firm,natural,ivory,"milky, sharp, tangy","clean, fresh",False,False
Alta Badia,cow,Italy,Pasta filata,semi-soft,firm,bloomy,blue,"milky, sharp, tangy","fresh, mild",False,False
Scamorza,cow,Italy,Pasta filata,semi-soft,"elastic, smooth, springy",natural,white,"creamy, smooth","buttery, fruity",True,False
Lebbene,"goat, sheep",Israel,Pasta filata,soft,"creamy, soft",natural,white,mild,mild,True,False
Caciocavallo di Bufala,water buffalo,Italy,Pasta filata,"semi-hard, artisan",smooth,rindless,white,savory,earthy,True,False
Chontaleno,cow,Mexico,Pasta filata,semi-hard,firm,natural,white,salty,"pungent, strong",False,False
Lebbene,"goat, sheep",Israel,Pasta filata,soft,"crumbly, dry",natural,white,mild,mild,True,False
Caciocavallo,cow,Italy,Pasta filata,semi-hard,"elastic, firm",natural,ivory,"lemony, mild",earthy,True,False
Alta Badia,cow,Italy,Pasta filata,semi-soft,firm,natural,pale yellow,"milky, sharp, tangy",fresh,False,False
Provolone Valpadana,cow,Italy,Pasta filata,"semi-hard, artisan",firm,waxed,pale yellow,full-flavored,rich,False,False
Lebbene,"goat, sheep",Israel,Pasta filata,soft,"open, smooth",natural,white,mild,mild,True,False
Scamorza,cow,Italy,Pasta filata,semi-soft,"elastic, smooth, springy",natural,white,"sharp, spicy","aromatic, rich",True,False
Provolone del Monaco,cow,Italy,Pasta filata,"semi-hard, artisan","firm, grainy",rindless,pale yellow,"buttery, sweet",pleasant,False,False
Provolone del Monaco,cow,Italy,Pasta filata,"semi-hard, artisan","firm, grainy",waxed,pale yellow,"buttery, sweet",pleasant,False,False
Scamorza,cow,Italy,Pasta filata,semi-soft,"elastic, smooth, springy",natural,white,"buttery, caramel, sweet","caramel, clean, grassy",True,False
Provolone del Monaco,cow,Italy,Pasta filata,"semi-hard, artisan","firm, grainy",washed,pale yellow,"buttery, sweet",pleasant,False,False
Caciocavallo,cow,Italy,Pasta filata,semi-hard,"elastic, firm",natural,white,"nutty, sharp, sweet",earthy,True,False
Provolone del Monaco,cow,Italy,Pasta filata,"semi-hard, artisan","firm, grainy",natural,pale yellow,"buttery, sweet",pleasant,False,False
Provolone del Monaco,cow,Italy,Pasta filata,"semi-hard, artisan","firm, grainy",plastic,pale yellow,"buttery, sweet",pleasant,False,False
Caciocavallo,cow,Italy,Pasta filata,semi-hard,"elastic, firm",natural,yellow,"spicy, strong",earthy,False,False
Alta Badia,cow,Italy,Pasta filata,semi-soft,firm,natural,pale yellow,"milky, sharp, tangy","clean, fresh",False,False
Alta Badia,cow,Italy,Pasta filata,semi-soft,firm,bloomy,brownish yellow,"milky, sharp, tangy",fresh,False,False
Provolone Valpadana,cow,Italy,Pasta filata,"semi-hard, artisan",firm,washed,pale yellow,full-flavored,rich,False,False
Morlacco,cow,Italy,Pasta filata,"soft, artisan",soft,natural,white,spicy,fresh,True,False
Caciocavallo di Bufala,water buffalo,Italy,Pasta filata,"semi-hard, artisan",smooth,bloomy,ivory,savory,earthy,True,False
Caciocavallo,cow,Italy,Pasta filata,semi-hard,"elastic, firm",natural,golden yellow,milky,earthy,True,False
Scamorza,cow,Italy,Pasta filata,semi-soft,"elastic, smooth, springy",natural,white,creamy,"clean, floral",False,False
Caciocavallo di Bufala,water buffalo,Italy,Pasta filata,"semi-hard, artisan",smooth,natural,white,savory,earthy,True,False
Morlacco,cow,Italy,Pasta filata,"soft, artisan",soft,natural,white,"salty, sharp",fresh,True,False
Provoleta,water buffalo,Argentina,Pasta filata,"semi-hard, artisan","creamy, smooth, springy",bloomy,pale yellow,"mild, smokey",fresh,False,False
Alta Badia,cow,Italy,Pasta filata,semi-soft,firm,natural,golden yellow,"milky, sharp, tangy",aromatic,False,False
Lebbene,"goat, sheep",Israel,Pasta filata,soft,"soft, spreadable",natural,white,mild,mild,False,False
Caciocavallo di Bufala,water buffalo,Italy,Pasta filata,"semi-hard, artisan",smooth,rindless,ivory,savory,earthy,False,False
Scamorza,cow,Italy,Pasta filata,semi-soft,"elastic, smooth, springy",natural,white,"mild, smooth, sweet, tangy",mild,True,False
Provolone Valpadana,cow,Italy,Pasta filata,"semi-hard, artisan",firm,mold ripened,pale yellow,full-flavored,rich,False,False
Scamorza,cow,Italy,Pasta filata,semi-soft,"elastic, smooth, springy",natural,white,"nutty, tangy",rich,True,False
Scamorza,cow,Italy,Pasta filata,semi-soft,"elastic, smooth, springy",natural,white,"floral, herbaceous","fresh, milky",False,False
Lebbene,"goat, sheep",Israel,Pasta filata,soft,"creamy, open, supple",natural,white,mild,mild,False,False
Alta Badia,cow,Italy,Pasta filata,semi-soft,firm,bloomy,white,"milky, sharp, tangy","earthy, grassy, raw nut, subtle",False,False
Chontaleno,cow,Mexico,Pasta filata,semi-hard,firm,natural,white,salty,aromatic,False,False
Alta Badia,cow,Italy,Pasta filata,semi-soft,firm,natural,white,"milky, sharp, tangy","herbal, nutty, woody",False,False
Morlacco,cow,Italy,Pasta filata,"soft, artisan",soft,natural,white,"creamy, mild",fresh,False,False
Provoleta,water buffalo,Argentina,Pasta filata,"semi-hard, artisan","creamy, smooth, springy",mold ripened,pale yellow,"mild, smokey",fresh,False,False
La Vache Qui Rit cheese,cow,France,Swiss Cheese,"semi-soft, processed","creamy, smooth, spreadable",rindless,pale yellow,"buttery, mild",fresh,False,False
Sourire Lozerien,cow,France,Swiss Cheese,"semi-soft, artisan","creamy, smooth",natural,white,"mild, sweet",musty,False,False
Mont St-Benoît,cow,Canada,Swiss Cheese,"firm, artisan","creamy, elastic, smooth, supple",rindless,white,"buttery, creamy, mild, nutty","fermented, mild, nutty",True,False
Lacy Swiss,cow,United States,Swiss Cheese,"semi-firm, processed","creamy, open, supple",natural,ivory,"mild, nutty",mild,False,False
La Vache Qui Rit cheese,cow,France,Swiss Cheese,"semi-soft, processed","creamy, smooth, spreadable",rindless,pale yellow,"buttery, mild",fresh,True,False
Swiss cheese,cow,United States,Swiss Cheese,"hard, artisan, processed",firm,rindless,pale yellow,"nutty, sweet","mild, milky, pleasant",True,False
Mont St-Benoît,cow,Canada,Swiss Cheese,"firm, artisan","creamy, elastic, smooth, supple",rindless,ivory,"buttery, creamy, mild, nutty","fermented, mild, nutty",False,False
Mont St-Benoît,cow,Canada,Swiss Cheese,"firm, artisan","creamy, elastic, smooth, supple",rindless,white,"buttery, creamy, mild, nutty","fermented, mild, nutty",False,False
Baby Swiss,cow,United States,Swiss Cheese,"semi-soft, processed","creamy, open, smooth",rindless,pale yellow,"nutty, sharp, sweet","fruity, musty",False,False
Lacy Swiss,cow,United States,Swiss Cheese,"semi-firm, processed","creamy, open, supple",bloomy,ivory,"mild, nutty",mild,False,False
Ascutney Mountain,cow,United States,Swiss Cheese,"hard, artisan","chewy, dense",natural,cream,"mild, nutty, sweet","herbal, sweet",True,False
Amul Emmental,cow,India,Swiss Cheese,semi-hard,"firm, open",artificial,yellow,sweet,nutty,True,False
Pawlet,cow,United States,Swiss Cheese,"semi-hard, artisan","buttery, creamy",natural,pale yellow,"creamy, meaty, mushroomy, nutty","herbal, mushroom, stinky",True,False
Brick,cow,United States,Swiss Cheese,"semi-hard, smear-ripened","open, smooth",washed,ivory,"mild, nutty, sweet, tangy","pungent, rich",False,False
Affineur Walo Rotwein Sennechäs,cow,Switzerland,Swiss Cheese,"hard, artisan",smooth,washed,cream,"creamy, pronounced, spicy","rich, strong",False,False
St Gall,cow,Ireland,Swiss Cheese,"hard, brined","creamy, smooth, soft, springy",natural,yellow,"fruity, mild, milky, nutty, smooth, yeasty","fruity, mild, milky, nutty, rich, yeasty",False,False
Marble Cheese,cow,United Kingdom,Swiss Cheese,"hard, processed",firm,rindless,golden orange,"mild, smooth, sweet, tangy",goaty,False,False
St Fidèle Swiss,cow,Canada,Swiss Cheese,semi-hard,"elastic, firm, open",rindless,ivory,"nutty, sweet","aromatic, sweet",False,False
Swiss cheese,cow,United States,Swiss Cheese,"hard, artisan, processed",firm,rindless,pale yellow,"nutty, sweet",mushroom,True,False
Ascutney Mountain,cow,United States,Swiss Cheese,"hard, artisan","chewy, dense",natural,orange,"mild, nutty, sweet","herbal, sweet",True,False
Boo Boo Baby Swiss,cow,United States,Swiss Cheese,"hard, artisan","crumbly, firm, open",natural,yellow,"nutty, sweet","milky, pleasant",False,False
Swiss cheese,cow,United States,Swiss Cheese,"hard, artisan, processed",firm,rindless,pale yellow,"nutty, sweet","goaty, rich, strong",True,False
Lappi,cow,Finland,Swiss Cheese,semi-soft,"creamy, firm, open, smooth",rindless,yellow,"mild, sweet","earthy, fruity, herbal",False,False
Stella Swiss,cow,United States,Swiss Cheese,"semi-soft, artisan","creamy, open, smooth",natural,cream,"nutty, tangy","mild, pleasant",True,False
Baby Swiss,cow,United States,Swiss Cheese,"semi-soft, processed","creamy, open, smooth",rindless,pale yellow,"nutty, sharp, sweet",fresh,False,False
Prairie Rose,cow,United States,Swiss Cheese,"semi-hard, artisan","creamy, open",natural,yellow,"creamy, full-flavored, smooth","grassy, mild, nutty",True,False
Lappi,cow,Finland,Swiss Cheese,semi-soft,"creamy, firm, open, smooth",rindless,yellow,"mild, sweet",fresh,False,False
Lacy Swiss,cow,United States,Swiss Cheese,"semi-firm, processed","creamy, open, supple",natural,ivory,"mild, nutty",mild,True,False
Baby Swiss,cow,United States,Swiss Cheese,"semi-soft, processed","creamy, open, smooth",rindless,pale yellow,"nutty, sharp, sweet","fresh, milky, rich, sweet",False,False
Baby Swiss,cow,United States,Swiss Cheese,"semi-soft, processed","creamy, open, smooth",rindless,pale yellow,"nutty, sharp, sweet","fresh, mild, milky, pleasant",False,False
Marble Cheese,cow,United Kingdom,Swiss Cheese,"hard, processed",firm,rindless,golden orange,"mild, smooth, sweet, tangy","herbal, sweet",False,False
Baby Swiss,cow,United States,Swiss Cheese,"semi-soft, processed","creamy, open, smooth",rindless,pale yellow,"nutty, sharp, sweet","fresh, rich",False,False
Marble Cheese,cow,United Kingdom,Swiss Cheese,"hard, processed",firm,rindless,golden orange,"mild, smooth, sweet, tangy",strong,False,False
Baby Swiss,cow,United States,Swiss Cheese,"semi-soft, processed","creamy, open, smooth",rindless,pale yellow,"nutty, sharp, sweet","lactic, milky",False,False
Prairie Rose,"cow, goat, sheep",United States,Swiss Cheese,"semi-hard, artisan","creamy, open",natural,yellow,"creamy, full-flavored, smooth","grassy, mild, nutty",True,False
Lacy Swiss,cow,United States,Swiss Cheese,"semi-firm, processed","creamy, open, supple",washed,ivory,"mild, nutty",mild,False,False
Pleasant Creek,goat,United States,Swiss Cheese,hard,"open, smooth",natural,yellow,"buttery, mild, nutty","fruity, grassy",True,False
Lappi,cow,Finland,Swiss Cheese,semi-soft,"creamy, firm, open, smooth",rindless,yellow,"mild, sweet","fruity, spicy",False,False
Lappi,cow,Finland,Swiss Cheese,semi-soft,"creamy, firm, open, smooth",rindless,yellow,"mild, sweet",smokey,False,False
Mont St-Benoît,cow,Canada,Swiss Cheese,"firm, artisan","creamy, elastic, smooth, supple",rindless,yellow,"buttery, creamy, mild, nutty","fermented, mild, nutty",False,False
Swiss cheese,cow,United States,Swiss Cheese,"hard, artisan, processed",firm,rindless,pale yellow,"nutty, sweet","earthy, fruity, herbal",True,False
Ascutney Mountain,cow,United States,Swiss Cheese,"hard, artisan","chewy, dense",natural,white,"mild, nutty, sweet","herbal, sweet",True,False
Ascutney Mountain,cow,United States,Swiss Cheese,"hard, artisan","chewy, dense",natural,yellow,"mild, nutty, sweet","herbal, sweet",True,False
Marble Cheese,cow,United Kingdom,Swiss Cheese,"hard, processed",firm,rindless,golden orange,"mild, smooth, sweet, tangy","barnyardy, earthy, mild, nutty, rich",False,False
Lappi,cow,Finland,Swiss Cheese,semi-soft,"creamy, firm, open, smooth",rindless,yellow,"mild, sweet",aromatic,False,False
Lappi,cow,Finland,Swiss Cheese,semi-soft,"creamy, firm, open, smooth",rindless,yellow,"mild, sweet","fresh, herbal",False,False
Lacy Swiss,cow,United States,Swiss Cheese,"semi-firm, processed","creamy, open, supple",rindless,ivory,"mild, nutty",mild,False,False
St Fidèle Swiss,cow,Canada,Swiss Cheese,semi-hard,"elastic, firm, open",rindless,ivory,"nutty, sweet","aromatic, sweet",True,False
Prairie Rose,goat,United States,Swiss Cheese,"semi-hard, artisan","creamy, open",natural,yellow,"creamy, full-flavored, smooth","grassy, mild, nutty",True,False
Ascutney Mountain,cow,United States,Swiss Cheese,"hard, artisan","chewy, dense",natural,pale yellow,"mild, nutty, sweet","herbal, sweet",True,False
Lappi,cow,Finland,Swiss Cheese,semi-soft,"creamy, firm, open, smooth",rindless,yellow,"mild, sweet",earthy,False,False
Marble Cheese,cow,United Kingdom,Swiss Cheese,"hard, processed",firm,rindless,golden orange,"mild, smooth, sweet, tangy","nutty, sweet",False,False
Swiss cheese,cow,United States,Swiss Cheese,"hard, artisan, processed",firm,rindless,pale yellow,"nutty, sweet","floral, fruity",True,False
Baby Swiss,cow,United States,Swiss Cheese,"semi-soft, processed","creamy, open, smooth",rindless,pale yellow,"nutty, sharp, sweet","herbal, mushroom, stinky",False,False
Mont St-Benoît,cow,Canada,Swiss Cheese,"firm, artisan","creamy, elastic, smooth, supple",rindless,yellow,"buttery, creamy, mild, nutty","fermented, mild, nutty",True,False
Baby Swiss,cow,United States,Swiss Cheese,"semi-soft, processed","creamy, open, smooth",rindless,pale yellow,"nutty, sharp, sweet","goaty, grassy, herbal",False,False
Swiss cheese,cow,United States,Swiss Cheese,"hard, artisan, processed",firm,rindless,pale yellow,"nutty, sweet","fresh, mild",True,False
Marble Cheese,cow,United Kingdom,Swiss Cheese,"hard, processed",firm,rindless,golden orange,"mild, smooth, sweet, tangy","aromatic, buttery",False,False
Lappi,cow,Finland,Swiss Cheese,semi-soft,"creamy, firm, open, smooth",rindless,yellow,"mild, sweet","earthy, floral",False,False
Lappi,cow,Finland,Swiss Cheese,semi-soft,"creamy, firm, open, smooth",rindless,yellow,"mild, sweet",rich,False,False
Swiss cheese,cow,United States,Swiss Cheese,"hard, artisan, processed",firm,rindless,pale yellow,"nutty, sweet","floral, fresh",True,False
Marble Cheese,cow,United Kingdom,Swiss Cheese,"hard, processed",firm,rindless,golden orange,"mild, smooth, sweet, tangy","floral, goaty, herbal",False,False
Lappi,cow,Finland,Swiss Cheese,semi-soft,"creamy, firm, open, smooth",rindless,yellow,"mild, sweet",pleasant,False,False
Swiss cheese,cow,United States,Swiss Cheese,"hard, artisan, processed",firm,rindless,pale yellow,"nutty, sweet","buttery, nutty, woody",True,False
Baby Swiss,cow,United States,Swiss Cheese,"semi-soft, processed","creamy, open, smooth",rindless,pale yellow,"nutty, sharp, sweet","earthy, mild",False,False
Mont St-Benoît,cow,Canada,Swiss Cheese,"firm, artisan","creamy, elastic, smooth, supple",rindless,green,"buttery, creamy, mild, nutty","fermented, mild, nutty",True,False
Mont St-Benoît,cow,Canada,Swiss Cheese,"firm, artisan","creamy, elastic, smooth, supple",rindless,pale yellow,"buttery, creamy, mild, nutty","fermented, mild, nutty",True,False
Baby Swiss,cow,United States,Swiss Cheese,"semi-soft, processed","creamy, open, smooth",rindless,pale yellow,"nutty, sharp, sweet","fruity, milky, nutty",False,False
Swiss cheese,cow,United States,Swiss Cheese,"hard, artisan, processed",firm,rindless,pale yellow,"nutty, sweet",rich,True,False
Swiss cheese,cow,United States,Swiss Cheese,"hard, artisan, processed",firm,rindless,pale yellow,"nutty, sweet",aromatic,True,False
Lacy Swiss,cow,United States,Swiss Cheese,"semi-firm, processed","creamy, open, supple",leaf wrapped,ivory,"mild, nutty",mild,True,False
Marble Cheese,cow,United Kingdom,Swiss Cheese,"hard, processed",firm,rindless,golden orange,"mild, smooth, sweet, tangy","mushroom, spicy",False,False
Ascutney Mountain,cow,United States,Swiss Cheese,"hard, artisan","chewy, dense",natural,ivory,"mild, nutty, sweet","herbal, sweet",True,False
Lappi,cow,Finland,Swiss Cheese,semi-soft,"creamy, firm, open, smooth",rindless,yellow,"mild, sweet","lactic, milky",False,False
Mont St-Benoît,cow,Canada,Swiss Cheese,"firm, artisan","creamy, elastic, smooth, supple",rindless,ivory,"buttery, creamy, mild, nutty","fermented, mild, nutty",True,False
Baby Swiss,cow,United States,Swiss Cheese,"semi-soft, processed","creamy, open, smooth",rindless,pale yellow,"nutty, sharp, sweet","aromatic, floral, fruity",False,False
Ascutney Mountain,cow,United States,Swiss Cheese,"hard, artisan","chewy, dense",natural,golden yellow,"mild, nutty, sweet","herbal, sweet",True,False
Lappi,cow,Finland,Swiss Cheese,semi-soft,"creamy, firm, open, smooth",rindless,yellow,"mild, sweet",strong,False,False
Baby Swiss,cow,United States,Swiss Cheese,"semi-soft, processed","creamy, open, smooth",rindless,pale yellow,"nutty, sharp, sweet",clean,False,False
Baby Swiss,cow,United States,Swiss Cheese,"semi-soft, processed","creamy, open, smooth",rindless,pale yellow,"nutty, sharp, sweet","aromatic, fresh, goaty",False,False
Lacy Swiss,cow,United States,Swiss Cheese,"semi-firm, processed","creamy, open, supple",rindless,ivory,"mild, nutty",mild,True,False
Classics Fresh Mozzarella,cow,United States,Mozzarella,"soft, brined","creamy, elastic, smooth, soft, stringy, supple",rindless,white,"acidic, mild, milky, spicy",fresh,True,False
Beehive Fresh,cow,United States,Mozzarella,"fresh soft, artisan","buttery, soft",plastic,pale yellow,"buttery, mild","buttery, fresh, mild",True,False
Paesanella Cherry Bocconcini,cow,Australia,Mozzarella,semi-soft,elastic,rindless,white,"creamy, salty, sweet","milky, sweet",True,False
Smoked Fior Di Latte,cow,Italy,Mozzarella,semi-soft,"elastic, smooth",natural,brownish yellow,"smokey , tangy",smokey,False,False
Paesanella Buffalo Mozzarella,"buffalo, cow",Australia,Mozzarella,"semi-hard, artisan","firm, supple",rindless,white,"mellow, nutty, sweet","rich, strong",True,False
Meredith Chevre Plain,goat,Australia,Mozzarella,"fresh soft, artisan","creamy, soft",rindless,white,"acidic, smooth","clean, fresh",True,False
Beemster 2% Milk,cow,"Canada, Denmark, France, Germany, Netherlands, United States",Mozzarella,semi-soft,smooth,rindless,pale yellow,nutty,"aromatic, floral, fruity",False,False
Paesanella Bocconcini,cow,Australia,Mozzarella,semi-soft,elastic,rindless,white,"creamy, salty, sweet","milky, sweet",True,False
Bassigny au porto,cow,Belgium,Mozzarella,semi-soft,"creamy, smooth",washed,yellow,"acidic, buttery",aromatic,False,False
Paesanella Buffalo Mozzarella,"buffalo, cow",Australia,Mozzarella,semi-hard,"firm, smooth",rindless,white,"full-flavored, nutty, sweet","fresh, sweet",True,False
Paesanella Buffalo Mozzarella,"buffalo, cow",Australia,Mozzarella,"soft, artisan",firm,rindless,white,"buttery, tangy","milky, sweet",True,False
Beemster 2% Milk,cow,"Canada, Denmark, France, Germany, Netherlands, United States",Mozzarella,semi-soft,smooth,rindless,golden yellow,nutty,"aromatic, floral, fruity",False,False
Beehive Fresh,cow,United States,Mozzarella,"fresh soft, artisan","buttery, soft",washed,pale yellow,"buttery, mild","buttery, fresh, mild",True,False
Bassigny au porto,cow,Belgium,Mozzarella,semi-soft,firm,washed,yellow,"acidic, buttery",aromatic,False,False
Burrata,water buffalo,"Italy, United States",Mozzarella,"fresh soft, artisan","creamy, stringy",leaf wrapped,white,"buttery, milky","fresh, milky",False,False
Beemster 2% Milk,cow,"Canada, Denmark, France, Germany, Netherlands, United States",Mozzarella,semi-soft,smooth,natural,pale yellow,nutty,"aromatic, floral, fruity",False,False
Aphrodite Goat Milk Halloumi,goat,Cyprus,Mozzarella,"semi-soft, artisan",soft,rindless,white,"lemony, tangy",strong,False,False
Paesanella Burrata,cow,Australia,Mozzarella,"fresh soft, artisan","creamy, soft",mold ripened,white,"buttery, milky, smooth","fresh, milky, rich, sweet",False,False
Shredded Bliss,cow,"Canada, United States",Mozzarella,semi-soft,"elastic, smooth, springy, stringy",plastic,pale yellow,"mild, milky","fresh, mild",True,False
Aphrodite Goat Milk Halloumi,goat,Cyprus,Mozzarella,"semi-soft, artisan",soft,rindless,white,"lemony, tangy",strong,True,False
Paesanella Burrata,cow,Australia,Mozzarella,"fresh soft, artisan","creamy, soft",leaf wrapped,white,"buttery, milky, smooth","fresh, milky, rich, sweet",False,False
Beemster 2% Milk,cow,"Canada, Denmark, France, Germany, Netherlands, United States",Mozzarella,semi-soft,smooth,rindless,ivory,nutty,"aromatic, floral, fruity",False,False
Amul Pizza Mozzarella Cheese,cow,India,Mozzarella,"semi-soft, processed","elastic, stringy",artificial,yellow,salty,pleasant,True,False
Paesanella Burrata,cow,Australia,Mozzarella,"fresh soft, artisan","creamy, soft",washed,white,"buttery, milky, smooth","fresh, milky, rich, sweet",False,False
Meredith Goat Cheese in Extra Virgin Olive Oil,goat,Australia,Mozzarella,"fresh soft, artisan","creamy, soft",washed,white,"garlicky, herbaceous, spicy","fresh, herbal, spicy, strong",False,False
Paesanella Buffalo Mozzarella,"buffalo, cow",Australia,Mozzarella,semi-soft,"buttery, crumbly, flaky",rindless,white,"mild, sweet","mild, nutty, rich",True,False
Paesanella Buffalo Mozzarella,"buffalo, cow",Australia,Mozzarella,"semi-soft, blue-veined","creamy, crumbly",rindless,white,"acidic, smooth","earthy, grassy, lactic",True,False
Paesanella Burrata,cow,Australia,Mozzarella,"fresh soft, artisan","creamy, soft",rindless,white,"buttery, milky, smooth","fresh, milky, rich, sweet",True,False
Smoked Fior Di Latte,cow,Italy,Mozzarella,semi-soft,"elastic, smooth",rindless,brownish yellow,"smokey , tangy",smokey,True,False
Shredded Bliss,"buffalo, cow","Canada, United States",Mozzarella,semi-soft,"elastic, smooth, springy, stringy",plastic,pale yellow,"mild, milky","fresh, mild",True,False
Shredded Bliss,sheep,"Canada, United States",Mozzarella,semi-soft,"elastic, smooth, springy, stringy",plastic,pale yellow,"mild, milky","fresh, mild",True,False
Smoked Fior Di Latte,cow,Italy,Mozzarella,semi-soft,"elastic, smooth",washed,brownish yellow,"smokey , tangy",smokey,False,False
